InvoiceDate,Revenue,Orders,ItemsSold,Lag_1,Lag_7,Lag_30,RollingMean_7,RollingMean_30
2010-01-14,20000.78,53,8794,9305.98,5668.34,32618.91,14196.06,18425.361666666668
2010-01-15,10249.29,41,4606,20000.78,18238.08,29776.63,13054.804285714286,17774.450333333334
2010-01-17,12046.78,38,6170,10249.29,17080.99,35324.71,12335.631428571429,16998.519333333334
2010-01-18,8832.32,35,4331,12046.78,10626.68,26208.34,12079.294285714286,16419.318666666666
2010-01-19,16818.851,44,8101,8832.32,13052.75,8856.29,12617.308714285713,16684.737366666664
2010-01-20,10255.14,32,4312,16818.851,11067.16,23393.5,12501.305857142857,16246.792033333333
2010-01-21,18433.69,45,8056,10255.14,9305.98,28781.030000000002,13805.264428571429,15901.880700000002
2010-01-22,17533.95,39,7720,18433.69,20000.78,29750.52,13452.860142857144,15494.6617
2010-01-24,13505.54,49,6654,17533.95,10249.29,23960.510000000002,13918.038714285713,15146.162699999999
2010-01-25,17023.18,45,7558,13505.54,12046.78,27880.920000000002,14628.953,14784.238033333333
2010-01-26,19263.55,81,7869,17023.18,8832.32,18180.91,16119.128714285715,14820.326033333335
2010-01-27,14030.58,48,7174,19263.55,16818.851,18635.75,15720.804285714285,14666.820366666665
2010-01-28,16050.15,49,8591,14030.58,10255.14,29386.14,16548.662857142856,14222.287366666666
2010-01-29,21243.381,42,6141,16050.15,18433.69,27625.260000000002,16950.047285714285,14009.558066666668
2010-01-31,16321.82,48,8213,21243.381,17533.95,29149.02,16776.885857142857,13581.984733333335
2010-02-01,13888.871000000001,51,6455,16321.82,13505.54,24040.98,16831.64742857143,13243.581100000001
2010-02-02,16056.28,40,7612,13888.871000000001,17023.18,20440.06,16693.51885714286,13097.455100000001
2010-02-03,15640.381,43,7343,16056.28,19263.55,9945.81,16175.923285714287,13287.274133333332
2010-02-04,18720.77,56,9202,15640.381,14030.58,7421.66,16845.95042857143,13663.911133333335
2010-02-05,11011.24,36,5527,18720.77,16050.15,3267.87,16126.106142857143,13922.023466666667
2010-02-07,7877.96,28,3385,11011.24,21243.381,7069.04,14216.760285714287,13948.987466666667
2010-02-08,11864.76,49,5867,7877.96,16321.82,5830.97,13580.037428571432,14150.1138
2010-02-09,15830.380000000001,49,8453,11864.76,13888.871000000001,12794.17,13857.395857142856,14251.3208
2010-02-10,5816.4800000000005,27,2632,15830.380000000001,16056.28,5668.34,12394.567285714287,14256.2588
2010-02-11,11795.69,50,5041,5816.4800000000005,15640.381,18238.08,11845.325714285715,14041.512466666667
2010-02-12,7670.02,27,3974,11795.69,18720.77,17080.99,10266.647142857142,13727.813466666666
2010-02-14,14209.29,42,7242,7670.02,11011.24,10626.68,10723.511428571428,13847.233799999998
2010-02-15,18035.301,38,7289,14209.29,7877.96,13052.75,12174.560142857143,14013.318833333333
2010-02-16,19840.72,58,9443,18035.301,11864.76,11067.16,13313.983000000002,14305.770833333334
2010-02-17,16414.86,43,7646,19840.72,15830.380000000001,9305.98,13397.480142857143,14542.7335
2010-02-18,19369.1,60,8917,16414.86,5816.4800000000005,20000.78,15333.568714285715,14521.6775
2010-02-19,8818.19,29,4246,19369.1,11795.69,10249.29,14908.211571428572,14473.974166666669
2010-02-21,10752.621000000001,36,4662,8818.19,7670.02,12046.78,15348.583142857142,14430.835533333333
2010-02-22,22467.46,44,9271,10752.621000000001,14209.29,8832.32,16528.321714285714,14885.3402
2010-02-23,13637.710000000001,43,7028,22467.46,18035.301,16818.851,15900.094428571427,14779.302166666666
2010-02-24,14094.051,53,6240,13637.710000000001,19840.72,10255.14,15079.141714285714,14907.265866666667
2010-02-25,19725.76,60,9574,14094.051,16414.86,18433.69,15552.127428571428,14950.334866666668
2010-02-26,10861.701000000001,29,4904,19725.76,19369.1,17533.95,14336.784714285715,14727.926566666667
2010-02-28,14230.91,52,5977,10861.701000000001,8818.19,13505.54,15110.030428571428,14752.105566666667
2010-03-01,14246.57,53,6670,14230.91,10752.621000000001,17023.18,15609.166,14659.5519
2010-03-02,17895.78,50,7297,14246.57,22467.46,19263.55,14956.068857142856,14613.959566666665
2010-03-03,21970.64,60,10745,17895.78,13637.710000000001,14030.58,16146.487428571429,14878.628233333333
2010-03-04,25618.87,72,12652,21970.64,14094.051,16050.15,17792.890142857144,15197.585566666667
2010-03-05,13454.68,52,6789,25618.87,19725.76,21243.381,16897.02157142857,14937.9622
2010-03-07,17988.62,50,9914,13454.68,10861.701000000001,16321.82,17915.152857142857,14993.5222
2010-03-08,16384.420000000002,63,8028,17988.62,14230.91,13888.871000000001,18222.79714285714,15076.707166666667
2010-03-09,15027.87,48,7174,16384.420000000002,14246.57,16056.28,18334.411428571428,15042.426833333333
2010-03-10,17170.62,51,8589,15027.87,17895.78,15640.381,18230.817142857144,15093.434799999999
2010-03-11,14468.65,44,6494,17170.62,21970.64,18720.77,17159.104285714286,14951.697466666665
2010-03-12,11720.25,33,5218,14468.65,25618.87,11011.24,15173.58714285714,14975.331133333331
2010-03-14,6386.22,24,2947,11720.25,13454.68,7877.96,14163.807142857142,14925.606466666668
2010-03-15,14305.411,40,6879,6386.22,17988.62,11864.76,13637.63442857143,15006.961500000001
2010-03-16,15990.11,41,7445,14305.411,16384.420000000002,15830.380000000001,13581.30442857143,15012.285833333333
2010-03-17,18485.12,40,8681,15990.11,15027.87,5816.4800000000005,14075.197285714285,15434.573833333334
2010-03-18,22158.760000000002,74,10211,18485.12,17170.62,11795.69,14787.788714285716,15780.009500000002
2010-03-19,31130.08,49,7612,22158.760000000002,14468.65,7670.02,17167.993,16562.0115
2010-03-21,15620.03,54,7817,31130.08,11720.25,14209.29,17725.10442857143,16609.03616666667
2010-03-22,16754.18,49,8327,15620.03,6386.22,18035.301,19206.24157142857,16566.332133333333
2010-03-23,26659.99,62,6905,16754.18,14305.411,19840.72,20971.181428571428,16793.641133333334
2010-03-24,19288.2,64,9229,26659.99,15990.11,16414.86,21442.33714285714,16889.419133333333
2010-03-25,23187.15,73,10966,19288.2,18485.12,19369.1,22114.055714285718,17016.687466666666
2010-03-26,14532.64,50,6919,23187.15,22158.760000000002,8818.19,21024.609999999997,17207.169133333333
2010-03-28,19313.5,59,10251,14532.64,31130.08,10752.621000000001,19336.527142857143,17492.531766666667
2010-03-29,14807.92,51,8241,19313.5,15620.03,22467.46,19220.511428571426,17237.213766666668
2010-03-30,21141.24,63,10119,14807.92,16754.18,13637.710000000001,19847.234285714287,17487.331433333333
2010-03-31,20508.03,64,8940,21141.24,26659.99,14094.051,18968.382857142857,17701.130733333335
2010-04-01,22593.73,70,10098,20508.03,19288.2,19725.76,19440.601428571426,17796.729733333334
2010-04-06,12752.81,46,5646,22593.73,23187.15,10861.701000000001,17949.98142857143,17859.766699999996
2010-04-07,15984.29,55,6911,12752.81,14532.64,14230.91,18157.36,17918.2127
2010-04-08,22069.16,76,10526,15984.29,19313.5,14246.57,18551.02571428571,18178.9657
2010-04-09,10895.87,29,5630,22069.16,14807.92,17895.78,17992.161428571428,17945.635366666666
2010-04-11,13951.91,41,6863,10895.87,21141.24,21970.64,16965.114285714284,17678.344366666668
2010-04-12,17204.931,41,6764,13951.91,20508.03,25618.87,16493.243,17397.87973333333
2010-04-13,15219.16,45,7049,17204.931,22593.73,13454.68,15439.732999999998,17456.695733333334
2010-04-14,17896.29,40,7882,15219.16,12752.81,17988.62,16174.515857142858,17453.618066666666
2010-04-15,17345.7,64,8162,17896.29,15984.29,16384.420000000002,16369.003,17485.660733333334
2010-04-16,11670.48,35,6155,17345.7,22069.16,15027.87,14883.477285714285,17373.747733333334
2010-04-18,17179.52,54,7123,11670.48,10895.87,17170.62,15781.141571428572,17374.0444
2010-04-19,21438.46,57,10034,17179.52,13951.91,14468.65,16850.648714285715,17606.3714
2010-04-20,16778.85,61,8079,21438.46,17204.931,11720.25,16789.78,17774.991400000003
2010-04-21,20286.7,57,8226,16778.85,15219.16,6386.22,17513.714285714286,18238.340733333334
2010-04-22,21906.81,71,10662,20286.7,17896.29,14305.411,18086.645714285714,18491.7207
2010-04-23,12878.16,50,7267,21906.81,17345.7,15990.11,17448.425714285713,18387.98903333333
2010-04-25,14459.99,43,6548,12878.16,11670.48,18485.12,17846.927142857145,18253.818033333333
2010-04-26,19365.85,70,8757,14459.99,17179.52,22158.760000000002,18159.260000000002,18160.721033333335
2010-04-27,23817.13,66,11810,19365.85,21438.46,31130.08,18499.07,17916.956033333332
2010-04-28,25135.19,67,12118,23817.13,16778.85,15620.03,19692.83285714286,18234.128033333334
2010-04-29,26036.411,75,12540,25135.19,20286.7,16754.18,20514.220142857142,18543.53573333333
2010-04-30,12162.31,35,6189,26036.411,21906.81,26659.99,19122.148714285715,18060.279733333333
2010-05-02,11364.87,39,5366,12162.31,12878.16,19288.2,18905.964428571428,17796.168733333336
2010-05-04,16213.93,46,7649,11364.87,14459.99,23187.15,19156.527285714285,17563.728066666667
2010-05-05,17803.66,62,7898,16213.93,19365.85,14532.64,18933.357285714283,17672.762066666666
2010-05-06,28887.93,76,12276,17803.66,23817.13,19313.5,19657.757285714288,17991.909733333334
2010-05-07,18879.09,50,10300,28887.93,25135.19,14807.92,18764.028714285716,18127.615400000002
2010-05-09,20654.420000000002,61,9589,18879.09,26036.411,21141.24,17995.172857142858,18111.388066666666
2010-05-10,19508.65,68,8938,20654.420000000002,12162.31,20508.03,19044.649999999998,18078.075399999998
2010-05-11,21313.48,59,10764,19508.65,11364.87,22593.73,20465.88,18035.4004
2010-05-12,16522.420000000002,50,7632,21313.48,16213.93,12752.81,20509.950000000004,18161.05406666667
2010-05-13,17800.18,58,7509,16522.420000000002,17803.66,15984.29,20509.45285714286,18221.583733333333
2010-05-14,10688.73,36,4077,17800.18,28887.93,22069.16,17909.567142857144,17842.236066666665
2010-05-16,12928.82,44,5991,10688.73,18879.09,10895.87,17059.528571428575,17910.001066666668
2010-05-17,15421.45,43,7882,12928.82,20654.420000000002,13951.91,16311.96142857143,17958.985733333335
2010-05-18,16514.78,57,7230,15421.45,19508.65,17204.931,15884.265714285715,17935.980700000004
2010-05-19,13881.6,53,6627,16514.78,21313.48,15219.16,14822.56857142857,17891.395366666668
2010-05-20,21212.02,62,10162,13881.6,16522.420000000002,17896.29,15492.511428571428,18001.919700000002
2010-05-21,14532.4,41,5710,21212.02,17800.18,17345.7,15025.685714285713,17908.143033333334
2010-05-23,19437.43,48,8183,14532.4,10688.73,11670.48,16275.5,18167.04136666667
2010-05-24,19830.97,65,10403,19437.43,12928.82,17179.52,17261.52142857143,18255.423033333333
2010-05-25,16165.36,55,8118,19830.97,15421.45,21438.46,17367.794285714284,18079.653033333332
2010-05-26,20522.18,66,9671,16165.36,16514.78,16778.85,17940.28,18204.4307
2010-05-27,24674.59,83,12776,20522.18,13881.6,20286.7,19482.135714285716,18350.6937
2010-05-28,12866.04,44,6657,24674.59,21212.02,21906.81,18289.852857142858,18049.3347
2010-05-30,8594.75,31,3752,12866.04,14532.4,12878.16,17441.617142857143,17906.554366666667
2010-06-01,10865.35,35,5861,8594.75,19437.43,14459.99,16217.034285714286,17786.733033333334
2010-06-02,7986.99,38,3672,10865.35,19830.97,19365.85,14525.037142857143,17407.4377
2010-06-03,18989.81,61,9363,7986.99,16165.36,23817.13,14928.53,17246.527033333332
2010-06-04,7858.33,30,3547,18989.81,20522.18,25135.19,13119.408571428572,16670.6317
2010-06-06,23764.11,67,11333,7858.33,24674.59,26036.411,12989.34,16594.888333333332
2010-06-07,26355.18,94,13255,23764.11,12866.04,12162.31,14916.36,17067.984
2010-06-08,21769.69,64,9304,26355.18,8594.75,11364.87,16798.494285714285,17414.81133333333
2010-06-09,17998.8,57,9377,21769.69,10865.35,16213.93,17817.558571428573,17474.306999999997
2010-06-10,15581.880000000001,60,6781,17998.8,7986.99,17803.66,18902.54285714286,17400.247666666666
2010-06-11,21703.15,68,10435,15581.880000000001,18989.81,28887.93,19290.162857142856,17160.755
2010-06-13,17636.14,67,8353,21703.15,7858.33,18879.09,20686.992857142854,17119.323333333334
2010-06-14,15994.33,45,7936,17636.14,23764.11,20654.420000000002,19577.024285714288,16963.987
2010-06-15,16305.78,44,8813,15994.33,26355.18,19508.65,18141.395714285714,16857.224666666665
2010-06-16,22574.68,71,11533,16305.78,21769.69,21313.48,18256.394285714287,16899.264666666666
2010-06-17,20937.91,69,10688,22574.68,17998.8,16522.420000000002,18676.26714285714,17046.447666666667
2010-06-18,12334.97,46,5655,20937.91,15581.880000000001,17800.18,18212.422857142858,16864.273999999998
2010-06-20,5307.14,25,2223,12334.97,21703.15,10688.73,15870.135714285714,16684.887666666666
2010-06-21,15600.17,42,8501,5307.14,17636.14,12928.82,15579.282857142856,16773.932666666668
2010-06-22,11399.09,39,5265,15600.17,15994.33,15421.45,14922.819999999998,16639.854
2010-06-23,14730.52,52,7341,11399.09,16305.78,16514.78,14697.782857142856,16580.378666666667
2010-06-24,14860.85,46,7334,14730.52,22574.68,13881.6,13595.807142857144,16613.020333333334
2010-06-25,11345.25,40,5060,14860.85,20937.91,21212.02,12225.427142857143,16284.128
2010-06-27,14477.54,55,6231,11345.25,12334.97,14532.4,12531.50857142857,16282.299333333332
2010-06-28,21868.0,64,11058,14477.54,5307.14,19437.43,14897.345714285713,16363.318333333333
2010-06-29,22476.100000000002,59,10480,21868.0,15600.17,19830.97,15879.621428571429,16451.489333333335
2010-06-30,23329.81,72,10972,22476.100000000002,11399.09,16165.36,17584.010000000002,16690.304333333333
2010-07-01,26642.0,80,13528,23329.81,14730.52,20522.18,19285.649999999998,16894.298333333332
2010-07-02,14790.95,43,7033,26642.0,14860.85,24674.59,19275.664285714283,16564.843666666668
2010-07-04,7136.25,20,3122,14790.95,11345.25,12866.04,18674.37857142857,16373.850666666665
2010-07-05,24949.25,75,11388,7136.25,14477.54,8594.75,20170.337142857144,16919.000666666667
2010-07-06,12660.4,53,5854,24949.25,21868.0,10865.35,18854.965714285714,16978.835666666666
2010-07-07,18534.19,53,8466,12660.4,22476.100000000002,7986.99,18291.835714285717,17330.409
2010-07-08,18003.05,64,8558,18534.19,23329.81,18989.81,17530.87,17297.517
2010-07-09,7836.34,23,4070,18003.05,26642.0,7858.33,14844.347142857141,17296.784
2010-07-11,6143.95,25,2527,7836.34,14790.95,23764.11,13609.06142857143,16709.445333333333
2010-07-12,11779.32,41,5019,6143.95,7136.25,26355.18,14272.357142857143,16223.583333333334
2010-07-13,11962.85,43,5427,11779.32,24949.25,21769.69,12417.157142857144,15896.688666666667
2010-07-14,14692.77,51,7107,11962.85,12660.4,17998.8,12707.495714285715,15786.487666666666
2010-07-15,19247.33,69,9745,14692.77,18534.19,15581.880000000001,12809.372857142855,15908.669333333333
2010-07-16,15405.32,59,7943,19247.33,18003.05,21703.15,12438.268571428573,15698.741666666667
2010-07-18,10449.55,37,5474,15405.32,7836.34,17636.14,12811.584285714287,15459.188666666665
2010-07-19,20569.86,54,9392,10449.55,6143.95,15994.33,14872.42857142857,15611.706333333334
2010-07-20,16800.65,53,7701,20569.86,11779.32,16305.78,15589.761428571428,15628.202
2010-07-21,15293.03,45,7441,16800.65,11962.85,22574.68,16065.501428571428,15385.480333333335
2010-07-22,15461.75,59,7313,15293.03,14692.77,20937.91,16175.355714285713,15202.941666666668
2010-07-23,11630.94,36,6634,15461.75,19247.33,12334.97,15087.300000000001,15179.474
2010-07-25,14726.64,51,8199,11630.94,15405.32,5307.14,14990.345714285713,15493.457333333332
2010-07-26,15624.19,51,9342,14726.64,10449.55,15600.17,15729.58,15494.258
2010-07-27,14731.7,53,7413,15624.19,20569.86,11399.09,14895.557142857142,15605.345
2010-07-28,20083.72,60,9819,14731.7,16800.65,14730.52,15364.567142857142,15783.785000000002
2010-07-29,23008.07,63,8885,20083.72,15293.03,14860.85,16466.715714285714,16055.359
2010-07-30,10149.83,42,4880,23008.07,15461.75,11345.25,15707.87,16015.511666666665
2010-08-01,8417.79,31,4374,10149.83,11630.94,14477.54,15248.848571428573,15813.52
2010-08-02,16090.0,54,7418,8417.79,14726.64,21868.0,15443.614285714286,15620.920000000002
2010-08-03,15923.94,48,7063,16090.0,15624.19,22476.100000000002,15486.435714285715,15402.514666666666
2010-08-04,15929.5,48,8854,15923.94,14731.7,23329.81,15657.550000000001,15155.837666666666
2010-08-05,16314.38,47,8879,15929.5,20083.72,26642.0,15119.072857142859,14811.583666666667
2010-08-06,10498.97,32,5209,16314.38,23008.07,14790.95,13332.058571428572,14668.517666666668
2010-08-08,11345.22,42,5573,10498.97,10149.83,7136.25,13502.828571428572,14808.81666666667
2010-08-09,11347.41,40,5979,11345.22,8417.79,24949.25,13921.345714285713,14355.422
2010-08-10,10982.22,37,5416,11347.41,16090.0,12660.4,13191.662857142857,14299.482666666667
2010-08-11,11290.26,37,5192,10982.22,15923.94,18534.19,12529.708571428573,14058.018333333333
2010-08-12,18442.3,67,9436,11290.26,15929.5,18003.05,12888.680000000002,14072.660000000002
2010-08-13,11014.26,38,6344,18442.3,16314.38,7836.34,12131.52,14178.590666666665
2010-08-15,12811.19,49,6592,11014.26,10498.97,6143.95,12461.837142857143,14400.831999999999
2010-08-16,11513.58,32,6602,12811.19,11345.22,11779.32,12485.888571428572,14391.974
2010-08-17,13734.960000000001,40,6728,11513.58,11347.41,11962.85,12826.967142857144,14451.044333333333
2010-08-18,18161.38,52,9180,13734.960000000001,10982.22,14692.77,13852.56142857143,14566.664666666667
2010-08-19,19502.99,62,10018,18161.38,11290.26,19247.33,15025.808571428572,14575.186666666668
2010-08-20,15531.800000000001,49,8307,19502.99,18442.3,15405.32,14610.02285714286,14579.402666666667
2010-08-22,17990.61,57,9648,15531.800000000001,11014.26,10449.55,15606.644285714287,14830.771333333334
2010-08-23,15040.87,44,8728,17990.61,12811.19,20569.86,15925.17,14646.471666666666
2010-08-24,16781.37,52,8695,15040.87,11513.58,16800.65,16677.711428571427,14645.829
2010-08-25,24438.46,65,11056,16781.37,13734.960000000001,15293.03,18206.782857142858,14950.676666666666
2010-08-26,23605.260000000002,67,10781,24438.46,18161.38,15461.75,18984.48,15222.127
2010-08-27,9487.82,31,4713,23605.260000000002,19502.99,11630.94,17553.74142857143,15150.689666666667
2010-08-29,11745.48,38,5839,9487.82,15531.800000000001,14726.64,17012.838571428572,15051.317666666668
2010-08-31,16788.33,50,7788,11745.48,17990.61,15624.19,16841.08428571429,15090.122333333335
2010-09-01,11605.93,37,4702,16788.33,15040.87,14731.7,16350.378571428571,14985.93
2010-09-02,23598.85,80,10894,11605.93,16781.37,20083.72,17324.304285714286,15103.100999999999
2010-09-03,13969.32,46,6054,23598.85,24438.46,23008.07,15828.712857142858,14801.809333333333
2010-09-05,10189.87,34,5142,13969.32,23605.260000000002,10149.83,13912.228571428572,14803.144
2010-09-06,17438.39,47,8127,10189.87,9487.82,8417.79,15048.024285714284,15103.830666666667
2010-09-07,13274.97,44,7056,17438.39,11745.48,16090.0,15266.522857142856,15009.996333333333
2010-09-08,14019.67,46,7278,13274.97,16788.33,15923.94,14871.0,14946.520666666667
2010-09-09,20990.88,62,10365,14019.67,11605.93,15929.5,16211.707142857142,15115.233333333334
2010-09-10,12546.61,42,6291,20990.88,23598.85,16314.38,14632.815714285713,14989.641
2010-09-12,14191.17,48,7412,12546.61,13969.32,10498.97,14664.50857142857,15112.714333333333
2010-09-13,19045.8,56,9964,14191.17,10189.87,11345.22,15929.641428571427,15369.400333333331
2010-09-14,17129.4,61,8751,19045.8,17438.39,11347.41,15885.5,15562.133333333333
2010-09-15,20893.3,60,10209,17129.4,13274.97,10982.22,16973.832857142857,15892.502666666667
2010-09-16,23799.871,63,11870,20893.3,14019.67,11290.26,18371.00442857143,16309.4897
2010-09-17,14215.72,40,7366,23799.871,20990.88,18442.3,17403.124428571427,16168.6037
2010-09-19,19871.13,56,10787,14215.72,12546.61,11014.26,18449.484428571428,16463.832700000003
2010-09-20,23095.8,66,11771,19871.13,14191.17,12811.19,19721.574428571428,16806.653033333332
2010-09-21,31080.95,92,16643,23095.8,19045.8,11513.58,21440.88157142857,17458.8987
2010-09-22,17522.13,60,9413,31080.95,17129.4,13734.960000000001,21496.98585714286,17585.1377
2010-09-23,28730.22,80,15949,17522.13,20893.3,18161.38,22616.545857142857,17937.432366666668
2010-09-24,21807.73,53,10158,28730.22,23799.871,19502.99,22331.954285714284,18014.257033333335
2010-09-26,18092.02,61,9241,21807.73,14215.72,15531.800000000001,22885.711428571427,18099.5977
2010-09-27,46789.18,78,15870,18092.02,19871.13,17990.61,26731.14714285714,19059.55003333333
2010-09-28,34929.12,107,17599,46789.18,23095.8,15040.87,28421.62142857143,19722.4917
2010-09-29,27986.19,90,13626,34929.12,31080.95,16781.37,27979.51285714286,20095.9857
2010-09-30,28457.02,75,14936,27986.19,17522.13,24438.46,29541.640000000003,20229.937700000002
2010-10-01,19505.170000000002,59,10089,28457.02,28730.22,23605.260000000002,28223.77571428572,20093.268033333334
2010-10-03,33248.62,75,15880,19505.170000000002,21807.73,9487.82,29858.18857142857,20885.294700000002
2010-10-04,27466.74,72,15812,33248.62,18092.02,11745.48,31197.434285714287,21409.336699999996
2010-10-05,38458.47,111,20901,27466.74,46789.18,16788.33,30007.33285714286,22131.6747
2010-10-06,20821.13,55,11347,38458.47,34929.12,11605.93,27991.905714285713,22438.848033333335
2010-10-07,37230.76,108,19064,20821.13,27986.19,23598.85,29312.558571428573,22893.245033333333
2010-10-08,24432.87,61,12051,37230.76,28457.02,13969.32,28737.68,23242.030033333336
2010-10-10,21456.43,67,10536,24432.87,19505.170000000002,10189.87,29016.431428571428,23617.582033333332
2010-10-11,29521.34,81,15407,21456.43,33248.62,17438.39,28483.962857142855,24020.347033333335
2010-10-12,32195.13,98,17078,29521.34,27466.74,13274.97,29159.447142857145,24651.019033333334
2010-10-13,26997.08,77,13642,32195.13,38458.47,14019.67,27522.105714285713,25083.59936666667
2010-10-14,42692.66,92,16955,26997.08,20821.13,20990.88,30646.610000000004,25806.992033333336
2010-10-15,33267.9,90,13562,42692.66,37230.76,12546.61,30080.487142857142,26497.701699999998
2010-10-17,26094.57,69,13731,33267.9,24432.87,14191.17,30317.87285714286,26894.4817
2010-10-18,28917.5,94,12761,26094.57,21456.43,19045.8,31383.74,27223.538366666668
2010-10-19,25820.66,72,12781,28917.5,29521.34,17129.4,30855.07142857143,27513.247033333337
2010-10-20,31081.600000000002,96,14320,25820.66,32195.13,20893.3,30695.99571428572,27852.857033333334
2010-10-21,27586.14,84,12035,31081.600000000002,26997.08,23799.871,30780.147142857142,27979.066000000003
2010-10-22,25704.3,75,11464,27586.14,42692.66,14215.72,28353.238571428574,28362.018666666667
2010-10-24,26791.170000000002,82,13180,25704.3,33267.9,19871.13,27427.99142857143,28592.68666666667
2010-10-25,22041.62,69,11334,26791.170000000002,26094.57,23095.8,26848.99857142857,28557.547333333336
2010-10-26,33006.95,89,16570,22041.62,28917.5,31080.95,27433.205714285716,28621.747333333336
2010-10-27,26572.19,67,12125,33006.95,25820.66,17522.13,27540.567142857144,28923.416000000005
2010-10-28,22161.32,56,8476,26572.19,31081.600000000002,28730.22,26266.24142857143,28704.452666666664
2010-10-29,26164.61,63,12655,22161.32,27586.14,21807.73,26063.165714285715,28849.681999999997
2010-10-31,25731.3,80,13593,26164.61,25704.3,18092.02,26067.022857142852,29104.324666666667
2010-11-01,17763.1,50,9079,25731.3,26791.170000000002,46789.18,24777.29857142857,28136.788666666667
2010-11-02,31750.71,81,13636,17763.1,22041.62,34929.12,26164.31142857143,28030.841666666667
2010-11-03,25770.91,82,11391,31750.71,33006.95,27986.19,25130.591428571428,27956.999
2010-11-04,43615.12,116,19657,25770.91,26572.19,28457.02,27565.295714285716,28462.268999999997
2010-11-05,26696.33,62,11525,43615.12,22161.32,19505.170000000002,28213.154285714285,28701.974333333335
2010-11-07,28598.93,80,15191,26696.33,26164.61,33248.62,28560.914285714283,28546.984666666667
2010-11-08,26723.711,73,12065,28598.93,25731.3,27466.74,28702.687285714284,28522.217033333334
2010-11-09,36094.03,103,17130,26723.711,17763.1,38458.47,31321.391571428572,28443.402366666665
2010-11-10,37267.7,112,16928,36094.03,31750.71,20821.13,32109.533000000003,28991.621366666666
2010-11-11,37704.32,111,17616,37267.7,25770.91,37230.76,33814.305857142856,29007.4067
2010-11-12,24283.09,90,12041,37704.32,43615.12,24432.87,31052.587285714286,29002.41403333333
2010-11-14,25518.99,84,12154,24283.09,26696.33,21456.43,30884.39585714286,29137.832700000003
2010-11-15,30041.06,93,13721,25518.99,28598.93,29521.34,31090.414428571432,29155.156700000003
2010-11-16,43140.47,97,20025,30041.06,26723.711,32195.13,33435.665714285715,29520.00136666667
2010-11-17,33314.621,110,15597,43140.47,36094.03,26997.08,33038.607285714286,29730.586066666663
2010-11-18,29271.25,93,14325,33314.621,37267.7,42692.66,31896.257285714284,29283.205733333332
2010-11-19,29539.04,97,14282,29271.25,37704.32,33267.9,30729.788714285714,29158.9104
2010-11-21,30539.010000000002,96,15529,29539.04,24283.09,26094.57,31623.491571428574,29307.058399999998
2010-11-22,27510.58,86,13192,30539.010000000002,25518.99,28917.5,31908.004428571432,29260.161066666664
2010-11-23,40846.47,124,19031,27510.58,30041.06,25820.66,33451.63442857143,29761.0214
2010-11-24,27941.06,108,13342,40846.47,43140.47,31081.600000000002,31280.290142857146,29656.336733333334
2010-11-25,41980.74,140,19522,27941.06,33314.621,27586.14,32518.307142857146,30136.15673333333
2010-11-26,26272.37,77,12405,41980.74,29271.25,25704.3,32089.895714285718,30155.0924
2010-11-28,23988.36,90,11274,26272.37,29539.04,26791.170000000002,31296.941428571434,30061.6654
2010-11-29,37138.35,92,16387,23988.36,30539.010000000002,22041.62,32239.704285714284,30564.889733333333
2010-11-30,35329.98,113,15390,37138.35,27510.58,33006.95,33356.76142857143,30642.324066666668
2010-12-01,28288.97,111,12848,35329.98,40846.47,26572.19,31562.832857142854,30699.550066666667
2010-12-02,29882.5,126,14203,28288.97,27941.06,22161.32,31840.181428571428,30956.922733333333
2010-12-03,16744.27,51,7180,29882.5,41980.74,26164.61,28234.971428571433,30642.9114
2010-12-05,26419.68,84,12209,16744.27,26272.37,25731.3,28256.015714285717,30665.8574
2010-12-06,22851.45,89,10847,26419.68,23988.36,17763.1,28093.600000000002,30835.46906666667
2010-12-07,20353.100000000002,66,8210,22851.45,37138.35,31750.71,25695.707142857143,30455.548733333333
2010-12-08,30673.5,103,13941,20353.100000000002,35329.98,25770.91,25030.495714285713,30618.9684
2010-12-09,27686.97,93,11531,30673.5,28288.97,43615.12,24944.495714285713,30088.030066666666
